user_id,subscription_start_date,plan_type,monthly_price,status
7,2025-01-05,Basic,9.99,active
9,2025-01-07,Standard,14.99,active
12,2025-01-01,Standard,14.99,active
14,2025-01-04,Premium,19.99,active
22,2025-01-04,Standard,14.99,active
32,2025-01-03,Basic,9.99,active
37,2025-01-06,Basic,9.99,active
44,2025-01-07,Basic,9.99,active
57,2025-01-03,Basic,9.99,active
66,2025-01-02,Standard,14.99,active
67,2025-01-01,Basic,9.99,active
68,2025-01-06,Basic,9.99,active
70,2025-01-05,Standard,14.99,active
72,2025-01-04,Standard,14.99,active
80,2025-01-02,Standard,14.99,active
89,2025-01-06,Basic,9.99,active
95,2025-01-04,Basic,9.99,active
106,2025-01-06,Premium,19.99,active
108,2025-01-01,Premium,19.99,active
110,2025-01-07,Basic,9.99,active
121,2025-01-04,Basic,9.99,active
125,2025-01-06,Standard,14.99,active
133,2025-01-03,Basic,9.99,active
138,2025-01-07,Premium,19.99,active
147,2025-01-04,Basic,9.99,active
148,2025-01-04,Premium,19.99,active
149,2025-01-05,Standard,14.99,active
156,2025-01-01,Standard,14.99,active
159,2025-01-03,Standard,14.99,active
162,2025-01-02,Basic,9.99,active
175,2025-01-07,Standard,14.99,active
176,2025-01-06,Premium,19.99,active
178,2025-01-05,Basic,9.99,active
179,2025-01-06,Basic,9.99,active
181,2025-01-04,Basic,9.99,active
184,2025-01-07,Basic,9.99,active
185,2025-01-05,Standard,14.99,active
188,2025-01-05,Basic,9.99,active
190,2025-01-06,Standard,14.99,active
197,2025-01-05,Basic,9.99,active
201,2025-01-04,Basic,9.99,active
217,2025-01-03,Premium,19.99,active
220,2025-01-05,Premium,19.99,active
224,2025-01-06,Basic,9.99,active
230,2025-01-01,Premium,19.99,active
242,2025-01-01,Standard,14.99,active
243,2025-01-05,Standard,14.99,active
254,2025-01-02,Standard,14.99,active
256,2025-01-07,Basic,9.99,active
258,2025-01-01,Standard,14.99,active
260,2025-01-03,Basic,9.99,active
262,2025-01-05,Standard,14.99,active
265,2025-01-01,Standard,14.99,active
273,2025-01-03,Basic,9.99,active
290,2025-01-06,Basic,9.99,active
292,2025-01-07,Standard,14.99,active
293,2025-01-05,Basic,9.99,active
294,2025-01-04,Basic,9.99,active
295,2025-01-06,Premium,19.99,active
299,2025-01-03,Basic,9.99,active
302,2025-01-08,Standard,14.99,active
305,2025-01-06,Premium,19.99,active
306,2025-01-02,Basic,9.99,active
339,2025-01-05,Basic,9.99,active
340,2025-01-05,Standard,14.99,active
345,2025-01-07,Standard,14.99,active
349,2025-01-02,Standard,14.99,active
359,2025-01-08,Basic,9.99,active
363,2025-01-07,Premium,19.99,active
367,2025-01-08,Standard,14.99,active
395,2025-01-02,Standard,14.99,active
396,2025-01-05,Basic,9.99,active
400,2025-01-06,Standard,14.99,active
409,2025-01-05,Standard,14.99,active
416,2025-01-08,Basic,9.99,active
421,2025-01-04,Basic,9.99,active
422,2025-01-06,Standard,14.99,active
428,2025-01-04,Basic,9.99,active
430,2025-01-03,Standard,14.99,active
431,2025-01-02,Standard,14.99,active
433,2025-01-05,Basic,9.99,active
453,2025-01-04,Standard,14.99,active
462,2025-01-03,Basic,9.99,active
470,2025-01-07,Basic,9.99,active
473,2025-01-02,Basic,9.99,active
474,2025-01-06,Premium,19.99,active
481,2025-01-02,Basic,9.99,active
486,2025-01-03,Basic,9.99,active
493,2025-01-03,Premium,19.99,active
495,2025-01-08,Basic,9.99,active
498,2025-01-06,Premium,19.99,active
510,2025-01-03,Standard,14.99,active
512,2025-01-06,Standard,14.99,active
513,2025-01-07,Basic,9.99,active
521,2025-01-05,Standard,14.99,active
527,2025-01-08,Standard,14.99,active
530,2025-01-03,Basic,9.99,active
534,2025-01-07,Standard,14.99,active
536,2025-01-08,Standard,14.99,active
541,2025-01-05,Standard,14.99,active
544,2025-01-04,Basic,9.99,active
546,2025-01-05,Basic,9.99,active
548,2025-01-07,Standard,14.99,active
554,2025-01-07,Basic,9.99,active
559,2025-01-08,Standard,14.99,active
563,2025-01-02,Basic,9.99,active
567,2025-01-04,Standard,14.99,active
576,2025-01-07,Basic,9.99,active
577,2025-01-06,Basic,9.99,active
581,2025-01-07,Basic,9.99,active
582,2025-01-02,Premium,19.99,active
583,2025-01-06,Basic,9.99,active
584,2025-01-05,Basic,9.99,active
590,2025-01-05,Basic,9.99,active
597,2025-01-07,Basic,9.99,active
602,2025-01-03,Standard,14.99,active
605,2025-01-09,Premium,19.99,active
621,2025-01-06,Standard,14.99,active
623,2025-01-04,Premium,19.99,active
627,2025-01-04,Basic,9.99,active
629,2025-01-08,Standard,14.99,active
630,2025-01-09,Standard,14.99,active
634,2025-01-06,Standard,14.99,active
635,2025-01-07,Standard,14.99,active
640,2025-01-05,Basic,9.99,active
645,2025-01-03,Standard,14.99,active
650,2025-01-08,Standard,14.99,active
655,2025-01-09,Standard,14.99,active
662,2025-01-08,Premium,19.99,active
671,2025-01-03,Basic,9.99,active
684,2025-01-03,Standard,14.99,active
691,2025-01-05,Basic,9.99,active
694,2025-01-08,Basic,9.99,active
697,2025-01-05,Premium,19.99,active
701,2025-01-08,Standard,14.99,active
704,2025-01-08,Basic,9.99,active
706,2025-01-06,Standard,14.99,active
708,2025-01-08,Basic,9.99,active
716,2025-01-03,Standard,14.99,active
718,2025-01-09,Basic,9.99,active
740,2025-01-03,Basic,9.99,active
741,2025-01-06,Standard,14.99,active
744,2025-01-06,Standard,14.99,active
746,2025-01-08,Basic,9.99,active
747,2025-01-03,Standard,14.99,active
752,2025-01-06,Basic,9.99,active
759,2025-01-05,Basic,9.99,active
764,2025-01-06,Basic,9.99,active
767,2025-01-04,Basic,9.99,active
775,2025-01-07,Premium,19.99,active
781,2025-01-09,Basic,9.99,active
782,2025-01-03,Basic,9.99,active
786,2025-01-07,Basic,9.99,active
792,2025-01-06,Basic,9.99,active
794,2025-01-07,Premium,19.99,active
798,2025-01-03,Basic,9.99,active
815,2025-01-06,Standard,14.99,active
825,2025-01-08,Standard,14.99,active
826,2025-01-07,Basic,9.99,active
829,2025-01-07,Standard,14.99,active
846,2025-01-08,Basic,9.99,active
850,2025-01-03,Basic,9.99,active
859,2025-01-08,Basic,9.99,active
869,2025-01-06,Basic,9.99,active
872,2025-01-06,Basic,9.99,active
892,2025-01-03,Standard,14.99,active
896,2025-01-03,Basic,9.99,active
898,2025-01-05,Basic,9.99,active
910,2025-01-07,Basic,9.99,active
926,2025-01-09,Basic,9.99,active
933,2025-01-06,Standard,14.99,active
935,2025-01-08,Standard,14.99,active
937,2025-01-04,Standard,14.99,active
949,2025-01-05,Standard,14.99,active
950,2025-01-09,Standard,14.99,active
955,2025-01-09,Basic,9.99,active
974,2025-01-04,Basic,9.99,active
978,2025-01-05,Premium,19.99,active
980,2025-01-08,Basic,9.99,active
1001,2025-01-09,Basic,9.99,active
1002,2025-01-04,Basic,9.99,active
1007,2025-01-07,Standard,14.99,active
1016,2025-01-04,Basic,9.99,active
1022,2025-01-10,Standard,14.99,active
1024,2025-01-10,Basic,9.99,active
1025,2025-01-07,Standard,14.99,active
1031,2025-01-06,Basic,9.99,active
1032,2025-01-09,Premium,19.99,active
1039,2025-01-06,Basic,9.99,active
1062,2025-01-05,Basic,9.99,active
1070,2025-01-09,Premium,19.99,active
1079,2025-01-10,Basic,9.99,active
1080,2025-01-06,Standard,14.99,active
1088,2025-01-07,Standard,14.99,active
1090,2025-01-06,Premium,19.99,active
1101,2025-01-04,Premium,19.99,active
1104,2025-01-08,Premium,19.99,active
1105,2025-01-08,Basic,9.99,active
1112,2025-01-06,Basic,9.99,active
1114,2025-01-08,Standard,14.99,active
1119,2025-01-06,Basic,9.99,active
1121,2025-01-09,Basic,9.99,active
1122,2025-01-05,Standard,14.99,active
1125,2025-01-06,Premium,19.99,active
1141,2025-01-06,Standard,14.99,active
1149,2025-01-05,Standard,14.99,active
1153,2025-01-05,Standard,14.99,active
1157,2025-01-06,Basic,9.99,active
1159,2025-01-07,Standard,14.99,active
1160,2025-01-10,Basic,9.99,active
1166,2025-01-06,Standard,14.99,active
1170,2025-01-09,Standard,14.99,active
1172,2025-01-07,Premium,19.99,active
1175,2025-01-08,Standard,14.99,active
1177,2025-01-04,Basic,9.99,active
1185,2025-01-04,Basic,9.99,active
1192,2025-01-04,Premium,19.99,active
1197,2025-01-07,Standard,14.99,active
1211,2025-01-08,Basic,9.99,active
1212,2025-01-10,Basic,9.99,active
1233,2025-01-08,Basic,9.99,active
1235,2025-01-10,Standard,14.99,active
1239,2025-01-06,Standard,14.99,active
1247,2025-01-07,Basic,9.99,active
1253,2025-01-07,Standard,14.99,active
1254,2025-01-10,Premium,19.99,active
1264,2025-01-11,Basic,9.99,active
1272,2025-01-09,Basic,9.99,active
1273,2025-01-05,Standard,14.99,active
1274,2025-01-05,Basic,9.99,active
1277,2025-01-08,Standard,14.99,active
1288,2025-01-10,Basic,9.99,active
1300,2025-01-10,Basic,9.99,active
1301,2025-01-05,Basic,9.99,active
1306,2025-01-10,Standard,14.99,active
1321,2025-01-08,Standard,14.99,active
1322,2025-01-09,Basic,9.99,active
1325,2025-01-10,Standard,14.99,active
1327,2025-01-11,Basic,9.99,active
1331,2025-01-06,Basic,9.99,active
1334,2025-01-08,Standard,14.99,active
1342,2025-01-07,Premium,19.99,active
1344,2025-01-09,Standard,14.99,active
1350,2025-01-11,Basic,9.99,active
1367,2025-01-09,Standard,14.99,active
1371,2025-01-07,Basic,9.99,active
1383,2025-01-06,Standard,14.99,active
1384,2025-01-06,Standard,14.99,active
1394,2025-01-05,Standard,14.99,active
1397,2025-01-08,Basic,9.99,active
1400,2025-01-09,Premium,19.99,active
1413,2025-01-09,Basic,9.99,active
1416,2025-01-06,Basic,9.99,active
1417,2025-01-07,Standard,14.99,active
1419,2025-01-10,Basic,9.99,active
1425,2025-01-09,Basic,9.99,active
1428,2025-01-06,Basic,9.99,active
1439,2025-01-11,Basic,9.99,active
1442,2025-01-06,Basic,9.99,active
1446,2025-01-09,Standard,14.99,active
1449,2025-01-07,Basic,9.99,active
1463,2025-01-08,Basic,9.99,active
1479,2025-01-08,Standard,14.99,active
1503,2025-01-10,Basic,9.99,active
1504,2025-01-07,Standard,14.99,active
1509,2025-01-08,Standard,14.99,active
1525,2025-01-11,Standard,14.99,active
1527,2025-01-06,Standard,14.99,active
1535,2025-01-07,Basic,9.99,active
